player,action,x,y
Tosin Oyedekun,Chance Set Piece,72,72
Harrison Uzondu,Intervention,25,95
Harrison Uzondu,Intervention,3,91
Tosin Oyedekun,Foul Received,40,89
Farouq Farouq,Loss,50,50
Falcao Falcao,Ground Duel Lost,88,59
Falcao Falcao,Recovery,98,79
Tosin Oyedekun,Unsuccessful Key Pass,92,79
Ngenge  Leonard,Intervention,25,21
Falcao Falcao,Aerial Duel Won,58,18
Farouq Farouq,Loss,64,60
Yusuf  Rauf,Successful Progressive Pass,2,33
Ngenge  Leonard,Intervention,28,44
Farouq Farouq,Aerial Duel Lost,78,67
Ngenge  Leonard,Foul Committed,44,60
Ngenge  Leonard,Intervention,9,73
Yusuf  Rauf,Intervention,5,39
Waliu Ojetoye,Successful Progressive Pass,6,24
Tosin Oyedekun,Successful Pass,33,7
Falcao Falcao,Loss,47,15
Ngenge  Leonard,Intervention,4,26
Ngenge  Leonard,Intervention,6,55
Yusuf  Rauf,Successful Progressive Pass,16,34
Falcao Falcao,Successful Shot Pass,68,25
Tosin Oyedekun,Unsuccessful Shot Pass,58,26
Kelechi Onwe,Recovery,58,41
Harrison Uzondu,Successful Progressive Pass,56,79
Tosin Oyedekun,Recovery,72,69
Timothy Timothy,Dribble successful,89,85
Timothy Timothy,Loss,95,81
Ngenge  Leonard,Foul Committed,45,68
Waliu Ojetoye,Aerial Duel Lost,25,25
Ngenge  Leonard,Successful Progressive Pass,10,74
Alade Solomon,Successful Progressive Pass,31,78
Falcao Falcao,Loss,53,57
Falcao Falcao,Recovery,54,57
Kelechi Onwe,Successful Progressive Pass,40,77
Farouq Farouq,Successful Progressive Pass,64,49
Waliu Ojetoye,Successful Shot Pass,77,12
Kelechi Onwe,Successful Progressive Pass,69,21
Waliu Ojetoye,Cross unsuccessful,95,19
Prestige Chibuike,Intervention,55,26
Prestige Chibuike,Successful Shot Pass,57,30
Falcao Falcao,Successful Shot Pass,70,29
Waliu Ojetoye,Successful Shot Pass,79,6
Falcao Falcao,Successful Progressive Pass,77,31
Farouq Farouq,Loss,96,35
Prestige Chibuike,Intervention,38,29
Yusuf  Rauf,Successful Progressive Pass,5,51
Waliu Ojetoye,Unsuccessful Shot Pass,34,12
Prestige Chibuike,Recovery,14,10
Prestige Chibuike,Successful Progressive Pass,14,8
Farouq Farouq,Unsuccessful Key Pass,46,38
Tosin Oyedekun,Successful Shot Pass,39,49
Farouq Farouq,Successful Shot Pass,49,72
Kelechi Onwe,Successful Shot Pass,59,67
Harrison Uzondu,Cross unsuccessful,73,97
Ngenge  Leonard,Successful Progressive Pass,19,68
Farouq Farouq,Aerial Duel Won,67,86
Yusuf  Rauf,Unsuccessful Progressive Pass,16,48
Yusuf  Rauf,Unsuccessful Progressive Pass,19,47
Alade Solomon,Aerial Duel Lost,71,65
Kelechi Onwe,Recovery,44,45
Timothy Timothy,Successful Shot Pass,19,82
Prestige Chibuike,Successful Shot Pass,13,19
Yusuf  Rauf,Dribble successful,8,34
Ngenge  Leonard,Unsuccessful Progressive Pass,29,85
Tosin Oyedekun,Unsuccessful Key Pass,79,30
Falcao Falcao,Foul Committed,54,90
Ngenge  Leonard,Aerial Duel Won,45,68
Yusuf  Rauf,Intervention,5,44
Prestige Chibuike,Successful Shot Pass,16,21
Alade Solomon,Foul Received,43,19
Yusuf  Rauf,Successful Progressive Pass,27,46
Farouq Farouq,Unsuccessful Progressive Pass,48,42
Yusuf  Rauf,Intervention,12,64
Tosin Oyedekun,Successful Progressive Pass,31,89
Timothy Timothy,Recovery,35,91
Ngenge  Leonard,Successful Progressive Pass,21,83
Farouq Farouq,Successful Shot Pass,47,82
